timestamp_ms,emg_voltage_V,rms_V,baseline_rms_V,state
49391,0.0603768,0.110315,0.0597409,flex
49394,0.0617519,0.109788,0.0597409,flex
49396,0.0801275,0.107182,0.0597409,flex
49399,0.165255,0.109346,0.0597409,flex
49402,0.0766273,0.109492,0.0597409,flex
49405,0.228257,0.113618,0.0597409,flex
49407,0.0635019,0.113635,0.0597409,flex
49410,0.0621269,0.113557,0.0597409,flex
49412,0.122754,0.114429,0.0597409,flex
49416,0.0700021,0.114521,0.0597409,flex
49419,0.0581268,0.113581,0.0597409,flex
49421,0.0581268,0.113526,0.0597409,flex
49424,0.0630019,0.113485,0.0597409,flex
49426,0.065877,0.113547,0.0597409,flex
49429,0.0626269,0.113561,0.0597409,flex
49432,0.0612519,0.113575,0.0597409,flex
49435,0.0580018,0.113476,0.0597409,flex
49438,0.0595018,0.113338,0.0597409,flex
49440,0.0596268,0.11279,0.0597409,flex
49443,0.064002,0.112849,0.0597409,flex
49445,0.0627519,0.107928,0.0597409,flex
49449,0.065127,0.104358,0.0597409,flex
49451,0.0623769,0.0978357,0.0597409,flex
49454,0.0827525,0.0976178,0.0597409,flex
49457,0.0597518,0.0971198,0.0597409,flex
49459,0.0600018,0.0971618,0.0597409,flex
49462,0.0716272,0.0971031,0.0597409,flex
49465,0.114253,0.0979284,0.0597409,flex
49468,0.0595018,0.0978942,0.0597409,flex
49471,0.0720022,0.0980435,0.0597409,flex
49473,0.0707522,0.098162,0.0597409,flex
49476,0.0587518,0.0981649,0.0597409,flex
49479,0.0595018,0.0981465,0.0597409,flex
49481,0.065252,0.0982012,0.0597409,flex
49485,0.338635,0.108881,0.0597409,flex
49487,0.386512,0.12151,0.0597409,flex
49490,0.066127,0.121577,0.0597409,flex
49492,0.103878,0.12218,0.0597409,flex
49495,0.0958779,0.122583,0.0597409,flex
49498,0.0608769,0.122579,0.0597409,flex
49502,0.0592518,0.121962,0.0597409,flex
49504,0.0775024,0.122162,0.0597409,flex
49507,0.0593768,0.122124,0.0597409,flex
49510,0.0590018,0.122117,0.0597409,flex
49512,0.0633769,0.12214,0.0597409,flex
49515,0.065627,0.114193,0.0597409,flex
49519,0.0675021,0.112249,0.0597409,flex
49522,0.0631269,0.108107,0.0597409,flex
49524,0.0555017,0.107493,0.0597409,flex
49527,0.0573768,0.106345,0.0597409,flex
49529,0.0618769,0.106362,0.0597409,flex
49532,0.0618769,0.106364,0.0597409,flex
49535,0.0600018,0.106098,0.0597409,flex
49538,0.0621269,0.103864,0.0597409,flex
49540,0.0596268,0.103641,0.0597409,flex
49543,0.0872527,0.0992559,0.0597409,flex
49546,0.273883,0.106166,0.0597409,flex
49548,0.231007,0.110731,0.0597409,flex
49551,0.391512,0.122579,0.0597409,flex
49554,0.0885027,0.122818,0.0597409,flex
